j_day, temp
97.70394534747014, 5.59709737529764
105.58744718345099, 5.753031060318605
112.96708411693734, 15.240558466754887
120.61721245447241, 12.140512037722289
128.0087953805666, 21.072121356787704
135.58383462170957, 21.46641719122912
143.22969653331324, 18.564912936257542
151.13794363969606, 17.569302011724574
158.25775523396214, 25.031810783285636
166.10541909211952, 26.855498730419196
173.7965051185957, 21.84944743040078
181.39714291532687, 21.052490220476052
188.9542631675581, 22.280663185973765
196.616337497701, 18.624698669570307
204.13591320173623, 21.60004276680502
211.78006854296734, 18.777955381457858
219.388385906375, 17.623622258223293
227.37513524989498, 12.974835330967494
234.86569925759682, 17.300266211817167
242.16214088542148, 16.543128977251868
250.10366611406897, 13.998889095042916
257.63177466996694, 16.577148844155587
265.6210838690457, 11.80923661246317
273.2294012324533, 10.654903489228605
280.36713181563107, 17.283535129733373
288.5731754520234, 2.429680455740975
296.0492336115587, 7.430154728398129
304.08035378476484, 0.7165291909076892
311.77570623717236, -4.488064283171752
319.4625258377172, -9.295573409129148
327.08961547522284, -11.323492098232215
334.6953729830717, -12.358699917030165
342.70558766921414, -3.983231766430066
349.8539843172204, -11.967192596269392
357.7716175606522, -13.399596303736608
