from, to, param_name, host_spp, param_value, param_ci_low, param_ci_high, source
__e, q_l, a, NA, 0.02, NA, NA, Ogden et al 2004 at 20C
..., m, a, NA, 0.01, NA, NA, NA
q.., f.., a, NA, 1e-3, NA, NA, daily chance a tick finds one given host
[qf].l, [fe].l, pref, deer, 1, NA, NA, NA
[qf].l, [fe].l, pref, mouse, 0.12, NA, NA, Levi et al. 2016
[qf].n, [fe].n, pref, deer, 1, NA, NA, NA
[qf].n, [fe].n, pref, mouse, 0.12, NA, NA, Levi et al. 2016
[qf].a, [fe].a, pref, deer, 1, NA, NA, NA
[qf].a, [fe].a, pref, mouse, 0, NA, NA, NA
f.., e.., host_rc, deer, 0.046, NA, NA, Levi et al. 2016
f.., e.., host_rc, mouse, 0.92, NA, NA, Levi et al. 2016
fi., e.., from_infected, NA, 1, NA, NA, NA
f[^i]., e.., from_infected, NA, 0, NA, NA, NA
f.., ei., to_infected, NA, 1, NA, NA, NA
f.., e[^i]., to_infected, NA, 0, NA, NA, NA
e.l, q.n, a, NA, 0.025, NA, NA, Ogden et al 2004 at 20C
e.n, q.a, a, NA, 0.025, NA, NA, Ogden et al 2004 at 20C
e.a, r_a, a, NA, 0.025, NA, NA, Ogden et al 2004 at 20C
r_a, __e, a, NA, 0.04, NA, NA, Ogden et al 2004 at 20C
